cluster	sequencesNb	sizeOfSmallestSeq	sizeOfLargestSeq	averageSize	medSize
199	1	6270	6270	6270	6270
200	1	6228	6228	6228	6228
201	1	6213	6213	6213	6213
202	1	6106	6106	6106	6106
203	1	6081	6081	6081	6081
204	1	6039	6039	6039	6039
205	1	6010	6010	6010	6010
206	1	5997	5997	5997	5997
207	1	5955	5955	5955	5955
208	1	5954	5954	5954	5954
209	1	5925	5925	5925	5925
210	1	5919	5919	5919	5919
211	1	5906	5906	5906	5906
212	1	5876	5876	5876	5876
213	1	5832	5832	5832	5832
214	1	5760	5760	5760	5760
215	1	5730	5730	5730	5730
216	1	5686	5686	5686	5686
217	1	5678	5678	5678	5678
218	1	5632	5632	5632	5632
219	1	5599	5599	5599	5599
220	1	5594	5594	5594	5594
221	1	5566	5566	5566	5566
222	1	5561	5561	5561	5561
223	1	5559	5559	5559	5559
224	1	5557	5557	5557	5557
225	1	5526	5526	5526	5526
226	1	5518	5518	5518	5518
227	1	5488	5488	5488	5488
228	1	5433	5433	5433	5433
229	1	5415	5415	5415	5415
230	1	5403	5403	5403	5403
231	1	5391	5391	5391	5391
232	1	5388	5388	5388	5388
233	1	5385	5385	5385	5385
234	1	5381	5381	5381	5381
235	1	5369	5369	5369	5369
236	1	5349	5349	5349	5349
237	1	5326	5326	5326	5326
238	1	5268	5268	5268	5268
239	1	5266	5266	5266	5266
240	1	5258	5258	5258	5258
241	1	5251	5251	5251	5251
242	1	5239	5239	5239	5239
243	1	5192	5192	5192	5192
244	1	5186	5186	5186	5186
245	1	5169	5169	5169	5169
246	1	5168	5168	5168	5168
247	1	5157	5157	5157	5157
248	1	5125	5125	5125	5125
249	1	5019	5019	5019	5019
250	1	4583	4583	4583	4583
251	1	4552	4552	4552	4552
252	1	4539	4539	4539	4539
253	1	4515	4515	4515	4515
254	1	4511	4511	4511	4511
255	1	4466	4466	4466	4466
256	1	4427	4427	4427	4427
257	1	4398	4398	4398	4398
258	1	4332	4332	4332	4332
259	1	4284	4284	4284	4284
260	1	4230	4230	4230	4230
261	1	4203	4203	4203	4203
262	1	4175	4175	4175	4175
263	1	4157	4157	4157	4157
264	1	4141	4141	4141	4141
265	1	4054	4054	4054	4054
266	1	4036	4036	4036	4036
267	1	4006	4006	4006	4006
268	1	4003	4003	4003	4003
269	1	3991	3991	3991	3991
270	1	3927	3927	3927	3927
271	1	3893	3893	3893	3893
272	1	3777	3777	3777	3777
273	1	3767	3767	3767	3767
274	1	3747	3747	3747	3747
275	1	3740	3740	3740	3740
276	1	3702	3702	3702	3702
277	1	3624	3624	3624	3624
278	1	3618	3618	3618	3618
279	1	3609	3609	3609	3609
280	1	3582	3582	3582	3582
281	1	3576	3576	3576	3576
282	1	3557	3557	3557	3557
283	1	3557	3557	3557	3557
284	1	3502	3502	3502	3502
285	1	3431	3431	3431	3431
286	1	3403	3403	3403	3403
287	1	3396	3396	3396	3396
288	1	3395	3395	3395	3395
289	1	3381	3381	3381	3381
290	1	3361	3361	3361	3361
291	1	3330	3330	3330	3330
292	1	3328	3328	3328	3328
293	1	3310	3310	3310	3310
294	1	3291	3291	3291	3291
295	1	3273	3273	3273	3273
296	1	3268	3268	3268	3268
297	1	3200	3200	3200	3200
298	1	3195	3195	3195	3195
299	1	3187	3187	3187	3187
300	1	3133	3133	3133	3133
301	1	3024	3024	3024	3024
302	1	3021	3021	3021	3021
